fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,units_from_shipment_data
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r364', 'r4043', 'r5243']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r364', 'r5243']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r47', 'r92', 'r365', 'r4044', 'r5244']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r92', 'r365', 'r5244']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r47', 'r92', 'r366', 'r4045', 'r5245']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,"['r92', 'r366', 'r5245']",2,2021-05-11 05:00:00,2.0
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r47', 'r92', 'r367', 'r4046', 'r5246']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,"['r92', 'r367', 'r5246']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r47', 'r92', 'r368', 'r4047', 'r5247']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,"['r92', 'r368', 'r5247']",4,2021-05-11 05:00:00,4.0
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r47', 'r92', 'r369', 'r4048', 'r5248']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,"['r92', 'r369', 'r5248']",10,2021-05-11 05:00:00,10.0
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r370', 'r4049', 'r5249']",2,2021-05-11 00:00:00,2.0
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r370', 'r5249']",9,2021-05-11 05:00:00,9.0
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r47', 'r92', 'r371', 'r4050', 'r5250']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,"['r92', 'r371', 'r5250']",5,2021-05-11 05:00:00,5.0
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r47', 'r92', 'r372', 'r4051', 'r5251']",1,2021-05-11 00:00:00,1.0
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,"['r92', 'r372', 'r5251']",3,2021-05-11 05:00:00,3.0
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,"['r47', 'r92', 'r373', 'r4052', 'r5252']",1,2021-05-11 00:00:00,1.0
