fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route
TUS2,DPS1,90031,dim1,2021-05-11 00:00:01,2021-05-12 23:59:59,"['r2389', 'r3812', 'r4612']",
ONT6,DPS1,90042,dim1,2021-05-11 00:00:11,2021-05-12 23:59:59,"['r1722', 'r3497', 'r5417']",
LGB3,DPS1,91001,dim1,2021-05-11 00:00:15,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r893', 'r3908', 'r4708']",
TUS2,DLA5,92405,dim1,2021-05-11 00:00:25,2021-05-12 23:59:59,"['r36', 'r66', 'r2367', 'r2685', 'r2935']",
LGB7,DLA5,92320,dim1,2021-05-11 00:01:05,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1181', 'r2525', 'r2825', 'r3050', 'r3250']",
LGB3,DSD2,92069,dim1,2021-05-11 00:01:10,2021-05-12 23:59:59,"['r1007', 'r7607', 'r7727']",
PSP1,DPS1,90026,dim1,2021-05-11 00:01:12,2021-05-12 23:59:59,"['r2049', 'r3568', 'r5328']",
LAS7,DPS1,91207,dim1,2021-05-11 00:01:23,2021-05-12 23:59:59,"['r59', 'r80', 'r748', 'r4411', 'r4971']",
LGB3,DPS1,90017,dim1,2021-05-11 00:01:33,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r871', 'r3886', 'r4686']",
LGB7,DSD1,92123,dim1,2021-05-11 00:01:45,2021-05-12 23:59:59,"['r1', 'r17', 'r55', 'r106', 'r1327', 'r6577', 'r6937', 'r7207', 'r7447']",
LGB3,DPS1,91106,dim1,2021-05-11 00:01:55,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r907', 'r3922', 'r4722']",
ONT6,DPS3,91320,dim1,2021-05-11 00:01:58,2021-05-12 23:59:59,"['r1793', 'r5930', 'r6434']",
LGB7,DPS1,90026,dim1,2021-05-11 00:02:03,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1209', 'r3328', 'r4288', 'r5008', 'r5648']",
SMF1,DPS1,91722,dim1,2021-05-11 00:02:24,2021-05-12 23:59:59,"['r2276', 'r3707', 'r5547']",
BFL1,DPS3,91356,dim1,2021-05-11 00:02:25,2021-05-12 23:59:59,"['r2', 'r15', 'r46', 'r91', 'r450', 'r6078', 'r6393']",
ONT6,DPS1,91706,dim1,2021-05-11 00:02:30,2021-05-12 23:59:59,"['r1771', 'r3546', 'r5466']",
LGB7,DSD2,92056,dim1,2021-05-11 00:02:35,2021-05-12 23:59:59,"['r7', 'r11', 'r56', 'r107', 'r1340', 'r7520', 'r7664', 'r7772', 'r7868']",
LGB3,DLA5,92404,dim1,2021-05-11 00:02:38,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r854', 'r2709', 'r2959']",
LGB3,DPS1,90017,dim1,2021-05-11 00:02:40,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r871', 'r3886', 'r4686']",
PSP1,DPS1,91206,dim1,2021-05-11 00:02:48,2021-05-12 23:59:59,"['r2091', 'r3610', 'r5370']",
PHX6,DPS3,91367,dim1,2021-05-11 00:03:00,2021-05-12 23:59:59,"['r1967', 'r6104', 'r6293']",
PHX6,DPS1,90012,dim1,2021-05-11 00:03:08,2021-05-12 23:59:59,"['r1876', 'r4123', 'r4843']",
TUS2,DPS1,91702,dim1,2021-05-11 00:03:14,2021-05-12 23:59:59,"['r2442', 'r3865', 'r4665']",
TUS2,DLA5,92407,dim1,2021-05-11 00:03:16,2021-05-12 23:59:59,"['r36', 'r66', 'r2368', 'r2686', 'r2936']",
PSP1,DPS1,91001,dim1,2021-05-11 00:03:21,2021-05-12 23:59:59,"['r2069', 'r3588', 'r5348']",
LGB7,DPS3,90265,dim1,2021-05-11 00:03:32,2021-05-12 23:59:59,"['r19', 'r82', 'r1284', 'r5883', 'r6135', 'r6324', 'r6492']",
PSP1,DSD1,92007,dim1,2021-05-11 00:03:35,2021-05-12 23:59:59,"['r28', 'r94', 'r2146', 'r6646', 'r7306']",
PSP1,DPS1,91770,dim1,2021-05-11 00:03:38,2021-05-12 23:59:59,"['r2117', 'r3636', 'r5396']",
LGB3,DPS3,91356,dim1,2021-05-11 00:03:43,2021-05-12 23:59:59,"['r8', 'r10', 'r40', 'r70', 'r954', 'r6036', 'r6246']",
LGB3,DSD1,92078,dim1,2021-05-11 00:03:44,2021-05-12 23:59:59,"['r0', 'r13', 'r981', 'r6777', 'r7077']",
LGB3,DPS1,91775,dim1,2021-05-11 00:03:45,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r942', 'r3957', 'r4757']",
BFL1,DLA5,92399,dim1,2021-05-11 00:03:48,2021-05-12 23:59:59,"['r45', 'r90', 'r349', 'r2758', 'r3133']",
LGB3,DLA5,92377,dim1,2021-05-11 00:04:14,2021-05-12 23:59:59,"['r3', 'r16', 'r39', 'r69', 'r852', 'r2707', 'r2957']",
TUS2,DPS1,91803,dim1,2021-05-11 00:04:15,2021-05-12 23:59:59,"['r2459', 'r3882', 'r4682']",
LGB7,DPS1,91010,dim1,2021-05-11 00:04:29,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1233', 'r3352', 'r4312', 'r5032', 'r5672']",
PSP1,DPS1,90028,dim1,2021-05-11 00:04:49,2021-05-12 23:59:59,"['r2051', 'r3570', 'r5330']",
SMF1,DPS1,91030,dim1,2021-05-11 00:05:03,2021-05-12 23:59:59,"['r2246', 'r3677', 'r5517']",
BFL1,DSD1,92129,dim1,2021-05-11 00:05:06,2021-05-12 23:59:59,"['r492', 'r6852', 'r7302']",
LGB7,DSD1,92122,dim1,2021-05-11 00:05:10,2021-05-12 23:59:59,"['r1', 'r17', 'r55', 'r106', 'r1326', 'r6576', 'r6936', 'r7206', 'r7446']",
LGB7,DLA5,92553,dim1,2021-05-11 00:05:32,2021-05-12 23:59:59,"['r18', 'r54', 'r81', 'r105', 'r1197', 'r2541', 'r2841', 'r3066', 'r3266']",
OAK4,DSD1,92127,dim1,2021-05-11 00:05:37,2021-05-12 23:59:59,"['r34', 'r103', 'r1498', 'r6730', 'r7030', 'r7240', 'r7420']",
FAT1,DPS1,90601,dim1,2021-05-11 00:05:39,2021-05-12 23:59:59,"['r62', 'r110', 'r551', 'r4462', 'r5742']",
BFL1,DPS1,91105,dim1,2021-05-11 00:05:43,2021-05-12 23:59:59,"['r47', 'r92', 'r402', 'r4081', 'r5281']",
LGB7,DPS1,90032,dim1,2021-05-11 00:05:46,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1214', 'r3333', 'r4293', 'r5013', 'r5653']",
ONT6,DSD2,92058,dim1,2021-05-11 00:05:46,2021-05-12 23:59:59,"['r26', 'r98', 'r1846', 'r7546', 'r7834']",
LGB3,DPS1,90028,dim1,2021-05-11 00:05:54,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r875', 'r3890', 'r4690']",
PSP1,DSD1,92117,dim1,2021-05-11 00:06:05,2021-05-12 23:59:59,"['r28', 'r94', 'r2163', 'r6663', 'r7323']",
FAT1,DSD1,92037,dim1,2021-05-11 00:06:10,2021-05-12 23:59:59,"['r642', 'r6984', 'r7464']",
LGB3,DPS1,91104,dim1,2021-05-11 00:06:11,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r905', 'r3920', 'r4720']",
BFL1,DPS1,91801,dim1,2021-05-11 00:06:14,2021-05-12 23:59:59,"['r47', 'r92', 'r442', 'r4121', 'r5321']",
LGB7,DSD2,92028,dim1,2021-05-11 00:06:21,2021-05-12 23:59:59,"['r7', 'r11', 'r56', 'r107', 'r1338', 'r7518', 'r7662', 'r7770', 'r7866']",
PSP1,DSD1,92124,dim1,2021-05-11 00:06:33,2021-05-12 23:59:59,"['r28', 'r94', 'r2168', 'r6668', 'r7328']",
LGB7,DPS1,91776,dim1,2021-05-11 00:06:40,2021-05-12 23:59:59,"['r4', 'r9', 'r20', 'r83', 'r1279', 'r3398', 'r4358', 'r5078', 'r5718']",
ONT2,DPS3,91356,dim1,2021-05-11 00:06:40,2021-05-12 23:59:59,"['r52', 'r88', 'r1626', 'r5910', 'r6120', 'r6372', 'r6540']",
PSP1,DSD1,92111,dim1,2021-05-11 00:06:53,2021-05-12 23:59:59,"['r28', 'r94', 'r2162', 'r6662', 'r7322']",
LGB3,DSD1,92007,dim1,2021-05-11 00:06:58,2021-05-12 23:59:59,"['r0', 'r13', 'r970', 'r6766', 'r7066']",
ONT2,DPS1,90041,dim1,2021-05-11 00:07:16,2021-05-12 23:59:59,"['r53', 'r89', 'r1553', 'r3416', 'r4216', 'r5176', 'r5816']",
TUS2,DPS1,91755,dim1,2021-05-11 00:07:17,2021-05-12 23:59:59,"['r2452', 'r3875', 'r4675']",
ONT2,DPS1,91030,dim1,2021-05-11 00:07:21,2021-05-12 23:59:59,"['r53', 'r89', 'r1574', 'r3437', 'r4237', 'r5197', 'r5837']",
OAK4,DPS3,91301,dim1,2021-05-11 00:07:30,2021-05-12 23:59:59,"['r64', 'r85', 'r1454', 'r5990', 'r6200', 'r6347', 'r6473']",
ONT2,DSD1,92117,dim1,2021-05-11 00:07:53,2021-05-12 23:59:59,"['r22', 'r112', 'r1659', 'r6603', 'r6903', 'r7263', 'r7503']",
LGB3,DPS1,91702,dim1,2021-05-11 00:08:00,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r930', 'r3945', 'r4745']",
OAK4,DPS1,91016,dim1,2021-05-11 00:08:10,2021-05-12 23:59:59,"['r65', 'r86', 'r1403', 'r3754', 'r4554', 'r5114', 'r5594']",
LAS7,DPS3,91377,dim1,2021-05-11 00:08:11,2021-05-12 23:59:59,"['r58', 'r79', 'r792', 'r6168', 'r6315']",
PSP1,DPS1,91104,dim1,2021-05-11 00:08:13,2021-05-12 23:59:59,"['r2081', 'r3600', 'r5360']",
LGB3,DPS1,91103,dim1,2021-05-11 00:08:14,2021-05-12 23:59:59,"['r5', 'r14', 'r41', 'r71', 'r904', 'r3919', 'r4719']",
FAT1,DPS3,91301,dim1,2021-05-11 00:08:19,2021-05-12 23:59:59,"['r61', 'r109', 'r614', 'r6179', 'r6515']",
SMF1,DPS1,90022,dim1,2021-05-11 00:08:21,2021-05-12 23:59:59,"['r2216', 'r3647', 'r5487']",
PSP1,DSD1,92117,dim1,2021-05-11 00:08:25,2021-05-12 23:59:59,"['r28', 'r94', 'r2163', 'r6663', 'r7323']",
