fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route,resource_caps_of_assigned_route,route_cost_map,type,base_cost
TUS2,DPS1,90031,dim1,2021-05-11 00:00:01,2021-05-12 23:59:59,['r2389' 'r3812' 'r4612'],r3812,"{'j52': 11497, 'j47': 105, 'j51': 920}","{'r2389': 6.53, 'r3812': 6.08, 'r4612': 6.08}",ddu,2.18
ONT6,DPS1,90042,dim1,2021-05-11 00:00:11,2021-05-12 23:59:59,['r1722' 'r3497' 'r5417'],r3497,"{'j52': 11496, 'j43': 67, 'j51': 919}","{'r1722': 2.58, 'r3497': 2.56, 'r5417': 2.56}",ddu,2.19
LGB3,DPS1,91001,dim1,2021-05-11 00:00:15,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r893' 'r3908' 'r4708'],r5,"{'j4': 859, 'j13': 47}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r893': 2.36, 'r3908': 2.71, 'r4708': 2.71}",amzl_direct,1.0
TUS2,DLA5,92405,dim1,2021-05-11 00:00:25,2021-05-12 23:59:59,['r36' 'r66' 'r2367' 'r2685' 'r2935'],r36,"{'j3': 476, 'j47': 104, 'j51': 918, 'j18': 185}","{'r36': 5.92, 'r66': 5.92, 'r2367': 6.03, 'r2685': 6.31, 'r2935': 6.31}",amzl_indirect,1.0
LGB7,DLA5,92320,dim1,2021-05-11 00:01:05,2021-05-12 23:59:59,['r18' 'r54' 'r81' 'r105' 'r1181' 'r2525' 'r2825' 'r3050' 'r3250'],r54,"{'j3': 475, 'j40': 99, 'j51': 917, 'j18': 184}","{'r18': 3.21, 'r54': 2.21, 'r81': 3.21, 'r105': 2.21, 'r1181': 2.23, 'r2525': 3.33, 'r2825': 2.72, 'r3050': 3.33, 'r3250': 2.72}",amzl_indirect,1.0
LGB3,DSD2,92069,dim1,2021-05-11 00:01:10,2021-05-12 23:59:59,['r1007' 'r7607' 'r7727'],r1007,{},"{'r1007': 2.63, 'r7607': 2.85, 'r7727': 2.85}",3p,2.63
PSP1,DPS1,90026,dim1,2021-05-11 00:01:12,2021-05-12 23:59:59,['r2049' 'r3568' 'r5328'],r3568,"{'j52': 11495, 'j45': 227, 'j51': 916}","{'r2049': 2.73, 'r3568': 2.7, 'r5328': 2.7}",ddu,2.2
LAS7,DPS1,91207,dim1,2021-05-11 00:01:23,2021-05-12 23:59:59,['r59' 'r80' 'r748' 'r4411' 'r4971'],r59,"{'j4': 858, 'j11': 130, 'j22': 920, 'j19': 668}","{'r59': 2.92, 'r80': 2.92, 'r748': 4.32, 'r4411': 4.45, 'r4971': 4.45}",amzl_indirect,1.0
LGB3,DPS1,90017,dim1,2021-05-11 00:01:33,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r871' 'r3886' 'r4686'],r5,"{'j4': 857, 'j13': 46}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r871': 2.41, 'r3886': 2.78, 'r4686': 2.78}",amzl_direct,1.0
LGB7,DSD1,92123,dim1,2021-05-11 00:01:45,2021-05-12 23:59:59,['r1' 'r17' 'r55' 'r106' 'r1327' 'r6577' 'r6937' 'r7207' 'r7447'],r1,"{'j6': 432, 'j26': 13}","{'r1': 1.19, 'r17': 1.19, 'r55': 1.19, 'r106': 1.19, 'r1327': 2.93, 'r6577': 4.07, 'r6937': 3.1, 'r7207': 4.07, 'r7447': 3.1}",amzl_direct,1.0
LGB3,DPS1,91106,dim1,2021-05-11 00:01:55,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r907' 'r3922' 'r4722'],r5,"{'j4': 856, 'j13': 45}","{'r5': 1.24, 'r14': 1.24, 'r41': 1.24, 'r71': 1.24, 'r907': 2.34, 'r3922': 2.7, 'r4722': 2.7}",amzl_direct,1.0
ONT6,DPS3,91320,dim1,2021-05-11 00:01:58,2021-05-12 23:59:59,['r1793' 'r5930' 'r6434'],r5930,"{'j52': 11494, 'j43': 66, 'j51': 915}","{'r1793': 3.01, 'r5930': 2.96, 'r6434': 2.96}",ddu,2.59
LGB7,DPS1,90026,dim1,2021-05-11 00:02:03,2021-05-12 23:59:59,['r4' 'r9' 'r20' 'r83' 'r1209' 'r3328' 'r4288' 'r5008' 'r5648'],r4,"{'j4': 855, 'j25': 21}","{'r4': 2.22, 'r9': 2.22, 'r20': 2.22, 'r83': 2.22, 'r1209': 2.5, 'r3328': 3.77, 'r4288': 2.39, 'r5008': 3.77, 'r5648': 2.39}",amzl_direct,1.0
SMF1,DPS1,91722,dim1,2021-05-11 00:02:24,2021-05-12 23:59:59,['r2276' 'r3707' 'r5547'],r3707,"{'j52': 11493, 'j46': 76, 'j51': 914}","{'r2276': 5.75, 'r3707': 5.56, 'r5547': 5.58}",ddu,2.12
