fc,ds,dimension,promise,arrival,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units_from_shipment_data,cumulative_route_assignment
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r364', 'r4043', 'r5243')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r364', 'r5243')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.11,not_defined,0,"('r47', 'r92', 'r365', 'r4044', 'r5244')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.11,not_defined,0,"('r92', 'r365', 'r5244')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.11,not_defined,0,"('r47', 'r92', 'r366', 'r4045', 'r5245')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.11,not_defined,0,"('r92', 'r366', 'r5245')",2.0,"[('r92', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r367', 'r4046', 'r5246')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r367', 'r5246')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.14,not_defined,0,"('r47', 'r92', 'r368', 'r4047', 'r5247')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.14,not_defined,0,"('r92', 'r368', 'r5247')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.08,not_defined,0,"('r47', 'r92', 'r369', 'r4048', 'r5248')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.08,not_defined,0,"('r92', 'r369', 'r5248')",10.0,"[('r92', 10)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r370', 'r4049', 'r5249')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r370', 'r5249')",9.0,"[('r92', 9)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r371', 'r4050', 'r5250')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r371', 'r5250')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.07,not_defined,0,"('r47', 'r92', 'r372', 'r4051', 'r5251')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.07,not_defined,0,"('r92', 'r372', 'r5251')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.09,not_defined,0,"('r47', 'r92', 'r373', 'r4052', 'r5252')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.09,not_defined,0,"('r92', 'r373', 'r5252')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r374', 'r4053', 'r5253')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r374', 'r5253')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.11,not_defined,0,"('r47', 'r92', 'r375', 'r4054', 'r5254')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.11,not_defined,0,"('r92', 'r375', 'r5254')",2.0,"[('r92', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.06,not_defined,0,"('r47', 'r92', 'r376', 'r4055', 'r5255')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.06,not_defined,0,"('r92', 'r376', 'r5255')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r377', 'r4056', 'r5256')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r377', 'r5256')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.07,not_defined,0,"('r47', 'r92', 'r378', 'r4057', 'r5257')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.07,not_defined,0,"('r92', 'r378', 'r5257')",7.0,"[('r92', 7)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.09,not_defined,0,"('r47', 'r92', 'r379', 'r4058', 'r5258')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.09,not_defined,0,"('r92', 'r379', 'r5258')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.12,not_defined,0,"('r47', 'r92', 'r380', 'r4059', 'r5259')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.12,not_defined,0,"('r92', 'r380', 'r5259')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.07,not_defined,0,"('r47', 'r92', 'r381', 'r4060', 'r5260')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.07,not_defined,0,"('r92', 'r381', 'r5260')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.04,not_defined,0,"('r47', 'r92', 'r382', 'r4061', 'r5261')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.04,not_defined,0,"('r92', 'r382', 'r5261')",0.0,
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.03,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r444', 'r6072', 'r6387')",2.0,"[('r2', 1), ('r46', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.03,not_defined,0,"('r2', 'r15', 'r91', 'r444', 'r6387')",3.0,"[('r15', 1), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,3.03,not_defined,0,"('r15', 'r91', 'r444', 'r6387')",5.0,"[('r91', 5)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r445', 'r6073', 'r6388')",1.0,"[('r46', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r2', 'r15', 'r91', 'r445', 'r6388')",1.0,"[('r15', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,3.01,not_defined,0,"('r15', 'r91', 'r445', 'r6388')",2.0,"[('r91', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.18,not_defined,0,"('r47', 'r92', 'r383', 'r4062', 'r5262')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.18,not_defined,0,"('r92', 'r383', 'r5262')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.23,not_defined,0,"('r47', 'r92', 'r386', 'r4065', 'r5265')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.23,not_defined,0,"('r92', 'r386', 'r5265')",0.0,
