fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r364' 'r4043' 'r5243'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r364': 0.0, 'r4043': 0.0, 'r5243': 0.0}"
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r364' 'r5243'],3.157906279698808,2021-05-11 05:00:00,3.1579062601287933,1.0892925802281248e-09,1.8480721980608467e-08,"{'r92': 3.1579062601287933, 'r364': 1.8480721980608467e-08, 'r5243': 1.0892925802281248e-09}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r365' 'r4044' 'r5244'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r365': 0.0, 'r4044': 0.0, 'r5244': 0.0}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r365' 'r5244'],1.894743767819285,2021-05-11 05:00:00,1.8947437501139361,1.0892926095172205e-09,1.6616055524478972e-08,"{'r92': 1.8947437501139361, 'r365': 1.6616055524478972e-08, 'r5244': 1.0892926095172205e-09}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r366' 'r4045' 'r5245'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r366': 0.0, 'r4045': 0.0, 'r5245': 0.0}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r366' 'r5245'],1.2631625118795233,2021-05-11 05:00:00,1.2631624941813269,1.0821348060187276e-09,1.6616064082287837e-08,"{'r92': 1.2631624941813269, 'r366': 1.6616064082287837e-08, 'r5245': 1.0821348060187276e-09}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r367' 'r4046' 'r5246'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r367': 0.0, 'r4046': 0.0, 'r5246': 0.0}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r367' 'r5246'],2.5263250237590467,2021-05-11 05:00:00,2.526325004203258,1.0750703679314954e-09,1.8480725157185995e-08,"{'r92': 2.526325004203258, 'r367': 1.8480725157185995e-08, 'r5246': 1.0750703679314954e-09}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r47' 'r92' 'r368' 'r4047' 'r5247'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r368': 0.0, 'r4047': 0.0, 'r5247': 0.0}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r92' 'r368' 'r5247'],2.5263250237590467,2021-05-11 05:00:00,2.5263250098773464,1.12655074834445e-09,1.275513624406778e-08,"{'r92': 2.5263250098773464, 'r368': 1.275513624406778e-08, 'r5247': 1.12655074834445e-09}"
