origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
LAX5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j52,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,266.7104502930723,11497
LGB5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j74,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,113.8042145713788,11497
LAX5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j105,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,1052.664710408741,11497
LGB5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j21,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,28.02264550074728,11497
DLA5,DLA5,ds_resource,2021-05-12 20:00:00,soft,1.0,j56,1906,1524.8,190.60000000000002,0.001046694648478489,5.739546252039148e-14,0.010643625383049651,1073.2872179939013,1906
DLA5,DLA5,ds_resource,2021-05-11 20:00:00,soft,1.0,j3,476,380.8,47.6,0.0041911764705882355,2.281468104524725e-13,0.0053207790736061415,267.99400357007164,476
DPS1,DPS1,ds_resource,2021-05-11 20:00:00,soft,1.0,j4,859,687.2,85.9,0.002322467986030268,3.6578991783757854e-13,0.007157569188768512,620.1378751043657,859
DPS3,DPS3,ds_resource,2021-05-11 20:00:00,soft,1.0,j5,183,146.4,18.3,0.010901639344262295,2.421696685574762e-12,0.0033044390521931935,135.4385894600074,183
DSD1,DSD1,ds_resource,2021-05-11 20:00:00,soft,1.0,j6,432,345.6,43.2,0.004618055555555556,3.9751034020267793e-13,0.005069797579845445,268.73021875569844,432
DPS3,DPS3,ds_resource,2021-05-12 20:00:00,soft,1.0,j58,732,585.6,73.2,0.002725409836065574,6.490762214847972e-13,0.0066048757043196075,541.5537994213897,732
DSD2,DSD2,ds_resource,2021-05-11 20:00:00,soft,1.0,j7,119,95.2,11.9,0.016764705882352942,1.2164359072470045e-12,0.0026589829119849353,69.68290135419429,119
DSD1,DSD1,ds_resource,2021-05-12 20:00:00,soft,1.0,j59,1729,1383.2,172.9,0.001153846153846154,8.122718082026537e-14,0.010139706532576932,1074.6362841565006,1729
DSD2,DSD2,ds_resource,2021-05-12 20:00:00,soft,1.0,j60,474,379.2,47.400000000000006,0.00420886075949367,3.089817289555223e-13,0.005312424229506306,297.313320863028,474
DPS1,DPS1,ds_resource,2021-05-12 20:00:00,soft,1.0,j57,3436,2748.8,343.6,0.000580616996507567,1.0043959624905914e-13,0.014299904651234326,2480.5512315246747,3436
LGB3,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j15,19,15.2,1.9000000000000001,0.105,1.8199999999930352,17.333333333281058,32.533333333267,19
LGB3,DLA5,fcds_resource,2021-05-12 12:00:00,soft,1.0,j65,72,57.6,7.2,0.027708333333333335,1.219999997652551,44.03007510327092,101.63007510325893,72
LGB3,DPS1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j66,188,150.4,18.8,0.010611702127659575,0.238360316927282,22.4620248534028,172.86202485327283,188
LGB7,DSD2,fcds_resource,2021-05-11 12:00:00,soft,1.0,j27,3,2.4,0.30000000000000004,0.6649999999999999,0.18999999994895228,0.28571428577196634,2.6857142856374696,3
LGB3,DPS3,fcds_resource,2021-05-12 12:00:00,soft,1.0,j67,30,24.0,3.0,0.0665,0.2573118196322593,3.869350671258772,27.869350671162653,30
LGB3,DPS3,fcds_resource,2021-05-11 12:00:00,soft,1.0,j14,8,6.4,0.8,0.249375,0.2573118196684941,1.0318268458854092,7.4318268457884695,8
LGB3,DPS1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j13,47,37.6,4.7,0.0424468085106383,0.23836031695310503,5.615506214037838,43.21550621393422,47
LGB7,DPS1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j78,84,67.2,8.4,0.02375,1.2233951670666001,51.511375455456644,118.71137545543984,84
LGB7,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j79,51,40.8,5.1000000000000005,0.03911764705882353,0.18999999992674163,4.8571428554046525,45.65714285527007,51
LGB7,DSD2,fcds_resource,2021-05-12 12:00:00,soft,1.0,j80,14,11.2,1.4000000000000001,0.1425,0.18999999993608752,1.333333333019372,12.533333332884823,14
ONT6,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j87,16,12.8,1.6,0.1246875,0.3700000015159605,2.9674185585931694,15.767418558523973,16
LGB3,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j68,77,61.6,7.7,0.02590909090909091,1.8199999999902519,70.24561403472553,131.84561403471153,77
LGB3,DLA5,fcds_resource,2021-05-11 12:00:00,soft,1.0,j12,18,14.4,1.8,0.11083333333333334,1.2199999976552034,11.007518775857372,25.40751877583674,18
BFL1,DPS3,fcds_resource,2021-05-11 12:00:00,soft,1.0,j0,7,5.6,0.7000000000000001,0.285,1.3473120246336459,4.727410612768891,10.327410612753875,7
BFL1,DPS3,fcds_resource,2021-05-12 12:00:00,soft,1.0,j53,28,22.4,2.8000000000000003,0.07125,1.3473120246227641,18.909642450865068,41.30964245079822,28
LGB7,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j26,13,10.4,1.3,0.15346153846153845,0.18999999993234015,1.2380952377888794,11.638095237654333,13
LGB7,DPS1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j25,21,16.8,2.1,0.095,1.2233951670996337,12.877843864227529,29.677843864207485,21
ONT6,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j34,4,3.2,0.4,0.49875,0.3700000015645453,0.7418546397975765,3.941854639728391,4
